PARK NUMBER,PARK NAME,STREET ADDRESS,ZIP,ACRES,WARD,PARK CLASS,LABEL,WHEELCHAIR ACCESSIBLE BALL FIELDS,ALFRED CALDWELL LILY POND,ARCHERY RANGE,ARTIFICIAL TURF FIELDS,BAND SHELL,BASEBALL BATTING CAGES,BASKETBALL BACKBOARDS,BASKETBALL COURTS,BEACH,BOAT LAUNCH (MOTORIZED),BOAT LAUNCH (NON-MOTORIZED),BOAT SLIPS,BOCCE COURT,BOWLING GREEN,CASTING AREA,CHESS PAVILLION,FOOTBALL SOCCER COMBO,COMMUNITY GARDEN,CONSERVATORY,CULTURAL CENTER,DOG-FRIENDLY,FITNESS CENTER,FITNESS COURSES,GALLERY,GARDEN,GOLF COURSE,GOLF DRIVING RANGE,GOLF PUTTING GREENS,GYMNASIUM,GYMNASTIC CENTERS,HANDBALL/RAQUETBALL COURT,HANDBALL,HORSESHOE COURTS,ICE SKATING,POOL INDOOR,BASEBALL JR/SOFTBALL/T-BALL,MOUNTAIN BIKE TRAIL,NATURE CENTER,POOL OUTDOOR,PAVILLION,ZOO,PLAYGROUND,PLAYGROUND PARK,ROWING CLUB,VOLLEYBALL,SENIOR CENTER,SHUFFLEBOARD,SKATE PARK,SLED HILL,SPORT ROLLER COURTS,SPRAY FEATURE,BASEBALL SR,TENNIS COURTS,TRACK,VOLLEYBALL SAND,WATER PLAYGROUND,WATER SLIDE,BOXING CENTER,WETLAND AREA,LAGOON,CAROUSEL,CROQUET,GOLF COURSE MINIATURE,MODEL TRAIN DISPLAY,MODEL YACHT BASIN,CRICKET FIELD,LOCATION
106,HAMLIN (HANNIBAL),3035 N HOYNE AVE,60618,8.16,32,COMMUNITY PARK,Hamlin,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,"3035 N HOYNE AVE60618
(41.936520770522, -87.68060487558624)"
214,"WICKER (CHARLES, JOEL)",1425 N DAMEN AVE,60622,4.03,26,COMMUNITY PARK,Wicker,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1425 N DAMEN AVE60622
(41.90742500122083, -87.67729600470253)"
488,CHALLENGER,1100 W IRVING PARK RD,60613,2.94,46,NEIGHBORHOOD PARK,Challenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1100 W IRVING PARK RD60613
(41.95449190566012, -87.65697200955285)"
542,BARTELME (MARY),115 S. SANGAMON ST,60602,2.29,2,NEIGHBORHOOD PARK,Bartelme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"115 S. SANGAMON ST60602
(41.88324000000006, -87.6291)"
511,WARD (A. MONTGOMERY),630 N KINGSBURY AVE,60610,2.89,0,UNIMPROVED PARK,Montgomery Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"630 N KINGSBURY AVE60610
(41.90442000000013, -87.63700999999998)"
24,GRANT (ULYSSES),331 E RANDOLPH ST,60605,324.7,2,MAGNET PARK,Grant,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,"331 E RANDOLPH ST60605
(41.86725000000007, -87.62087999999994)"
546,PARK NO. 546,450 E. BENTON PLACE,60611,4.57,42,NEIGHBORHOOD PARK,Park No. 546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"450 E. BENTON PLACE60611
(41.89472000000006, -87.61860999999999)"
425,NOETHLING (GRACE),2645 N SHEFFIELD AVE,60614,0.44,43,MINI-PARK,Noethling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2645 N SHEFFIELD AVE60614
(41.92980828953706, -87.65365278713423)"
412,CHURCHILL FIELD,1825 N DAMEN AVE,60614,1.13,32,NEIGHBORHOOD PARK,Churchill Field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1825 N DAMEN AVE60614
(41.92230000000001, -87.65132999999997)"
186,RIVER,5100 N FRANCISCO AVE,60625,30,33,REGIONAL PARK,River,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,"5100 N FRANCISCO AVE60625
(41.97397703250807, -87.70134421855703)"
